Air Canada	https://www.aircanada.com/us/en/aco/home/app.html#/farereview	East
West Jet	https://www.westjet.com/en-us	East
Southwest	https://www.southwest.com/	East
United	https://www.united.com/en/us	East
Allegiant	https://www.allegiantair.com/	Central
Avelo	https://www.aveloair.com/	Central
Alaska	https://www.alaskaair.com/	Central
American	https://www.aa.com/homePage.do	Central
British Airways	https://www.britishairways.com/travel/home/public/en_us/	Central
Frontier	https://www.flyfrontier.com/	West
Sun Country	https://www.suncountry.com/	West
JetBlue	https://www.jetblue.com/	West
Spirit	https://www.spirit.com/	West
Delta	https://www.delta.com/	West